window,model,train_size,test_size,test_start,test_end,test_auc,test_highrisk
1,Logistic Regression,1176,147,2021-08-18,2022-03-10,0.8934240362811792,0.5714285714285714
1,Ridge Classifier,1176,147,2021-08-18,2022-03-10,0.893613000755858,0.5714285714285714
1,Random Forest,1176,147,2021-08-18,2022-03-10,0.8894557823129252,0.5714285714285714
2,Logistic Regression,1323,147,2022-03-11,2022-10-03,0.9000376506024097,0.43537414965986393
2,Ridge Classifier,1323,147,2022-03-11,2022-10-03,0.8106174698795181,0.43537414965986393
2,Random Forest,1323,147,2022-03-11,2022-10-03,0.9205572289156627,0.43537414965986393
3,Logistic Regression,1470,147,2022-10-04,2023-04-26,0.9577160493827162,0.1836734693877551
3,Ridge Classifier,1470,147,2022-10-04,2023-04-26,0.9549382716049383,0.1836734693877551
3,Random Forest,1470,147,2022-10-04,2023-04-26,0.929320987654321,0.1836734693877551
4,Logistic Regression,1617,147,2023-04-27,2023-11-17,0.9616161616161616,0.10204081632653061
4,Ridge Classifier,1617,147,2023-04-27,2023-11-17,0.9368686868686869,0.10204081632653061
4,Random Forest,1617,147,2023-04-27,2023-11-17,0.9252525252525252,0.10204081632653061
5,Logistic Regression,1764,147,2023-11-20,2024-06-11,0.9038461538461539,0.38095238095238093
5,Ridge Classifier,1764,147,2023-11-20,2024-06-11,0.890894819466248,0.38095238095238093
5,Random Forest,1764,147,2023-11-20,2024-06-11,0.902668759811617,0.38095238095238093
6,Logistic Regression,1911,147,2024-06-12,2025-01-02,0.9056350626118068,0.2925170068027211
6,Ridge Classifier,1911,147,2024-06-12,2025-01-02,0.8973613595706619,0.2925170068027211
6,Random Forest,1911,147,2024-06-12,2025-01-02,0.9022808586762076,0.2925170068027211
7,Logistic Regression,2058,147,2025-01-03,2025-07-28,0.9580808080808081,0.10204081632653061
7,Ridge Classifier,2058,147,2025-01-03,2025-07-28,0.7676767676767677,0.10204081632653061
7,Random Forest,2058,147,2025-01-03,2025-07-28,0.9686868686868686,0.10204081632653061
8,Logistic Regression,2205,147,2025-07-29,2026-02-18,0.9098360655737705,0.17006802721088435
8,Ridge Classifier,2205,147,2025-07-29,2026-02-18,0.8973770491803279,0.17006802721088435
8,Random Forest,2205,147,2025-07-29,2026-02-18,0.9068852459016393,0.17006802721088435
